model,dataset,dataset_path,method,budget,n_sink,context_len,target_len,token_offset,position_mode,ppl,ttft_s,prefill_time_s,tpot_ms,throughput_tok_s,peak_mem_mb,prefill_cache_len,final_cache_len,prefill_cache_len_layer0,prefill_cache_len_avg,prefill_cache_len_min,prefill_cache_len_max,prefill_cache_lens,final_cache_len_layer0,final_cache_len_avg,final_cache_len_min,final_cache_len_max,final_cache_lens
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,streaming_prefill,1024,4,1536,512,0,absolute,59.227956873406576,0.025291754998761462,0.025291754998761462,7.733054792564526,129.31500252158025,311.8115234375,1024,1535,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]",1535,1535.0,1535,1535,"[1535, 1535, 1535, 1535, 1535, 1535]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,streaming_online,256,4,1536,512,0,absolute,69.24744668696914,0.024144472998159472,0.024144472998159472,8.373342569467612,119.42661985983707,296.7197265625,256,256,256,256.0,256,256,"[256, 256, 256, 256, 256, 256]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,streaming_online,512,4,1536,512,0,absolute,62.913665810909016,0.02175747499859426,0.02175747499859426,8.126004774953488,123.06170469924736,299.7197265625,512,512,512,512.0,512,512,"[512, 512, 512, 512, 512, 512]",512,512.0,512,512,"[512, 512, 512, 512, 512, 512]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,streaming_online,768,4,1536,512,0,absolute,60.417795106968825,0.03048074300022563,0.03048074300022563,8.140534704501892,122.84205353820043,302.8232421875,768,768,768,768.0,768,768,"[768, 768, 768, 768, 768, 768]",768,768.0,768,768,"[768, 768, 768, 768, 768, 768]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,streaming_online,1024,4,1536,512,0,absolute,59.55902320824373,0.024833611998474225,0.024833611998474225,7.730193043051849,129.36287547163298,306.3232421875,1024,1024,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]",1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,streaming_decode_only,256,4,1536,512,0,absolute,69.06746049514422,0.02091672000096878,0.02091672000096878,8.013352886500833,124.79170880950271,312.72998046875,1536,256,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,streaming_decode_only,512,4,1536,512,0,absolute,61.93099229524836,0.02139905399963027,0.02139905399963027,7.42692907240499,134.6451528284462,312.72998046875,1536,512,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536]",512,512.0,512,512,"[512, 512, 512, 512, 512, 512]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,streaming_decode_only,768,4,1536,512,0,absolute,61.17641552077106,0.023936794001201633,0.023936794001201633,8.11295464187431,123.25965620941437,312.72998046875,1536,768,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536]",768,768.0,768,768,"[768, 768, 768, 768, 768, 768]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,streaming_decode_only,1024,4,1536,512,0,absolute,58.82839302992635,0.02750487699813675,0.02750487699813675,8.080178005876279,123.75964975929413,313.22607421875,1536,1024,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536]",1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,knorm_prefill,256,4,1536,512,0,absolute,71.58771918710833,0.032090594999317545,0.032090594999317545,6.780196156556315,147.48835828783803,302.314453125,256,767,256,256.0,256,256,"[256, 256, 256, 256, 256, 256]",767,767.0,767,767,"[767, 767, 767, 767, 767, 767]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,knorm_prefill,512,4,1536,512,0,absolute,69.81080887259947,0.029638150001119357,0.029638150001119357,7.059089238743445,141.66133422872062,305.314453125,512,1023,512,512.0,512,512,"[512, 512, 512, 512, 512, 512]",1023,1023.0,1023,1023,"[1023, 1023, 1023, 1023, 1023, 1023]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,knorm_prefill,768,4,1536,512,0,absolute,66.63353194246267,0.03273310999793466,0.03273310999793466,7.269963207441929,137.55227797801587,311.203125,768,1279,768,768.0,768,768,"[768, 768, 768, 768, 768, 768]",1279,1279.0,1279,1279,"[1279, 1279, 1279, 1279, 1279, 1279]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,knorm_prefill,1024,4,1536,512,0,absolute,65.75576941860774,0.027368110000679735,0.027368110000679735,6.907619776905284,144.76766705419547,311.8115234375,1024,1535,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]",1535,1535.0,1535,1535,"[1535, 1535, 1535, 1535, 1535, 1535]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,knorm_online,256,4,1536,512,0,absolute,1013.82895493937,0.02777632499783067,0.02777632499783067,9.62051543443707,103.94453465772267,296.7197265625,256,256,256,256.0,256,256,"[256, 256, 256, 256, 256, 256]",256,256.0,256,256,"[256, 256, 256, 256, 256, 256]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,knorm_online,512,4,1536,512,0,absolute,504.8167340685657,0.03011691700157826,0.03011691700157826,9.18686341683212,108.85107948462645,299.7197265625,512,512,512,512.0,512,512,"[512, 512, 512, 512, 512, 512]",512,512.0,512,512,"[512, 512, 512, 512, 512, 512]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,knorm_online,768,4,1536,512,0,absolute,284.84151083851316,0.02744651900138706,0.02744651900138706,9.186966275927176,108.84986076636893,302.89404296875,768,768,768,768.0,768,768,"[768, 768, 768, 768, 768, 768]",768,768.0,768,768,"[768, 768, 768, 768, 768, 768]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,knorm_online,1024,4,1536,512,0,absolute,194.96636278157388,0.046096617999864975,0.046096617999864975,9.584487432488043,104.33526122746551,306.41748046875,1024,1024,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]",1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,snapkv_prefill,256,4,1536,512,0,absolute,64.44502617258476,0.03242491600030917,0.03242491600030917,7.440710559690614,134.39576663785456,302.314453125,256,767,256,256.0,256,256,"[256, 256, 256, 256, 256, 256]",767,767.0,767,767,"[767, 767, 767, 767, 767, 767]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,snapkv_prefill,512,4,1536,512,0,absolute,60.467822686950846,0.03809381400060374,0.03809381400060374,7.343084657536111,136.18255088121762,305.314453125,512,1023,512,512.0,512,512,"[512, 512, 512, 512, 512, 512]",1023,1023.0,1023,1023,"[1023, 1023, 1023, 1023, 1023, 1023]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,snapkv_prefill,768,4,1536,512,0,absolute,59.898692845296175,0.043464951999339974,0.043464951999339974,7.884981596871227,126.8233777992331,311.203125,768,1279,768,768.0,768,768,"[768, 768, 768, 768, 768, 768]",1279,1279.0,1279,1279,"[1279, 1279, 1279, 1279, 1279, 1279]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,snapkv_prefill,1024,4,1536,512,0,absolute,59.38534360030736,0.04412259200034896,0.04412259200034896,7.625231217225483,131.1435642424834,311.8115234375,1024,1535,1024,1024.0,1024,1024,"[1024, 1024, 1024, 1024, 1024, 1024]",1535,1535.0,1535,1535,"[1535, 1535, 1535, 1535, 1535, 1535]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,pyramidkv_prefill,256,4,1536,512,0,absolute,64.04546980679997,0.03558362500189105,0.03558362500189105,8.16821248924183,122.42580629691965,302.314453125,469,980,469,256.0,43,469,"[469, 384, 299, 213, 128, 43]",980,767.0,554,980,"[980, 895, 810, 724, 639, 554]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,pyramidkv_prefill,512,4,1536,512,0,absolute,61.86423630169707,0.03853864600023371,0.03853864600023371,7.403357716238171,135.07384599377764,308.060546875,968,1479,968,512.0,56,968,"[968, 786, 603, 421, 238, 56]",1479,1023.0,567,1479,"[1479, 1297, 1114, 932, 749, 567]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,pyramidkv_prefill,768,4,1536,512,0,absolute,59.54138758420888,0.03655569900001865,0.03655569900001865,9.740607493150437,102.66300132750413,313.0009765625,1467,1978,1467,768.0,69,1467,"[1467, 1188, 908, 628, 348, 69]",1978,1279.0,580,1978,"[1978, 1699, 1419, 1139, 859, 580]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,pyramidkv_prefill,1024,4,1536,512,0,absolute,60.10339208851598,0.034649601999262813,0.034649601999262813,6.967907508807516,143.51510819223537,316.24609375,1536,2047,1536,1024.0,512,1536,"[1536, 1331, 1126, 922, 717, 512]",2047,1535.0,1023,2047,"[2047, 1842, 1637, 1433, 1228, 1023]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,pg19,data/PG-19/Reminiscences_of_Pioneer_Days_in_St._Paul_by_Frank_Moore.txt,think_prefill,0,4,1536,512,0,absolute,47.04679496522617,0.033701211999868974,0.033701211999868974,7.1298987671243435,140.25444577291293,318.3291015625,1536,2047,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536]",2047,2047.0,2047,2047,"[2047, 2047, 2047, 2047, 2047, 2047]"
/mnt/d/Labs/Efficient-LLM-Inference/models/pythia-70m,wikitext,data/WikiText-2/test.txt,think_prefill,0,4,1536,512,0,absolute,111.91623588255071,0.02909893300238764,0.02909893300238764,6.13125582974603,163.09872361685848,318.3291015625,1536,2047,1536,1536.0,1536,1536,"[1536, 1536, 1536, 1536, 1536, 1536]",2047,2047.0,2047,2047,"[2047, 2047, 2047, 2047, 2047, 2047]"
